route_id,service_id,trip_id,trip_headsign,direction_id,block_id,shape_id
BX22,GH_A5-Weekday,GH_A5-Weekday-114000_BX22_421,CASTLE HILL ZEREGA AV,1,36466985,BX220013
BX22,GH_A5-Weekday,GH_A5-Weekday-114800_BX22_427,CASTLE HILL ZEREGA AV,1,36466964,BX220013
BX22,GH_A5-Weekday,GH_A5-Weekday-115700_BX22_434,CASTLE HILL ZEREGA AV,1,36466989,BX220013
BX22,GH_A5-Weekday,GH_A5-Weekday-116700_BX22_428,CASTLE HILL ZEREGA AV,1,36466973,BX220013
BX22,GH_A5-Weekday,GH_A5-Weekday-117700_BX22_429,CASTLE HILL ZEREGA AV,1,36466981,BX220013
BX22,GH_A5-Weekday,GH_A5-Weekday-118700_BX22_422,CASTLE HILL ZEREGA AV,1,36466980,BX220013
BX22,GH_A5-Weekday,GH_A5-Weekday-119700_BX22_431,CASTLE HILL ZEREGA AV,1,36466965,BX220013
BX22,GH_A5-Weekday,GH_A5-Weekday-120900_BX22_423,CASTLE HILL ZEREGA AV,1,36466979,BX220013
BX22,GH_A5-Weekday,GH_A5-Weekday-122100_BX22_424,CASTLE HILL ZEREGA AV,1,36466982,BX220013
BX22,GH_A5-Weekday,GH_A5-Weekday-123300_BX22_425,CASTLE HILL ZEREGA AV,1,36466988,BX220013
BX22,GH_A5-Weekday,GH_A5-Weekday-124500_BX22_433,CASTLE HILL ZEREGA AV,1,36466978,BX220013
BX22,GH_A5-Weekday,GH_A5-Weekday-125700_BX22_426,CASTLE HILL ZEREGA AV,1,36466961,BX220013
BX22,GH_A5-Weekday,GH_A5-Weekday-126900_BX22_430,CASTLE HILL ZEREGA AV,1,36466986,BX220013
BX22,GH_A5-Weekday,GH_A5-Weekday-128100_BX22_427,CASTLE HILL ZEREGA AV,1,36466964,BX220013
BX22,GH_A5-Weekday,GH_A5-Weekday-129600_BX22_428,CASTLE HILL ZEREGA AV,1,36466973,BX220013
BX22,GH_A5-Weekday,GH_A5-Weekday-131100_BX22_432,CASTLE HILL ZEREGA AV,1,36466981,BX220013
BX22,GH_A5-Weekday,GH_A5-Weekday-132600_BX22_431,CASTLE HILL ZEREGA AV,1,36466965,BX220013
BX22,GH_A5-Weekday,GH_A5-Weekday-009000_BX22_401,CASTLE HILL ZEREGA AV,1,36466960,BX220011
BX22,GH_A5-Weekday,GH_A5-Weekday-015000_BX22_401,CASTLE HILL ZEREGA AV,1,36466960,BX220011
BX22,GH_A5-Weekday,GH_A5-Weekday-021000_BX22_401,CASTLE HILL ZEREGA AV,1,36466960,BX220011
BX22,GH_A5-Weekday,GH_A5-Weekday-027000_BX22_401,CASTLE HILL ZEREGA AV,1,36466960,BX220011
BX22,GH_A5-Weekday,GH_A5-Weekday-033000_BX22_402,CASTLE HILL ZEREGA AV,1,36466961,BX220011
BX22,GH_A5-Weekday,GH_A5-Weekday-035000_BX22_403,CASTLE HILL ZEREGA AV,1,36466962,BX220011
BX22,GH_A5-Weekday,GH_A5-Weekday-036500_BX22_401,CASTLE HILL ZEREGA AV,1,36466960,BX220011
BX22,GH_A5-Weekday,GH_A5-Weekday-037700_BX22_408,CASTLE HILL ZEREGA AV,1,36466967,BX220011
BX22,GH_A5-Weekday,GH_A5-Weekday-038900_BX22_404,CASTLE HILL ZEREGA AV,1,36466963,BX220011
BX22,GH_A5-Weekday,GH_A5-Weekday-040100_BX22_411,CASTLE HILL ZEREGA AV,1,36466970,BX220011
BX22,GH_A5-Weekday,GH_A5-Weekday-041300_BX22_414,CASTLE HILL ZEREGA AV,1,36466973,BX220011
BX22,GH_A5-Weekday,GH_A5-Weekday-006000_BX22_401,PELHAM PKY,0,36466960,BX220022
BX22,GH_A5-Weekday,GH_A5-Weekday-012000_BX22_401,PELHAM PKY,0,36466960,BX220022
BX22,GH_A5-Weekday,GH_A5-Weekday-018000_BX22_401,PELHAM PKY,0,36466960,BX220022
BX22,GH_A5-Weekday,GH_A5-Weekday-024000_BX22_401,PELHAM PKY,0,36466960,BX220022
BX22,GH_A5-Weekday,GH_A5-Weekday-030000_BX22_402,PELHAM PKY,0,36466961,BX220022
BX22,GH_A5-Weekday,GH_A5-Weekday-031500_BX22_403,PELHAM PKY,0,36466962,BX220022
BX22,GH_A5-Weekday,GH_A5-Weekday-033000_BX22_401,PELHAM PKY,0,36466960,BX220022
BX22,GH_A5-Weekday,GH_A5-Weekday-034200_BX22_404,PELHAM PKY,0,36466963,BX220022
BX22,GH_A5-Weekday,GH_A5-Weekday-035300_BX22_405,BEDFORD PARK PAUL AV-205 ST,0,36466964,BX220021
BX22,GH_A5-Weekday,GH_A5-Weekday-036300_BX22_402,FORDHAM CENTER VALENTINE AV,0,36466961,BX220031
BX22,GH_A5-Weekday,GH_A5-Weekday-037300_BX22_406,BEDFORD PARK PAUL AV-205 ST,0,36466966,BX220021
BX22,GH_A5-Weekday,GH_A5-Weekday-038200_BX22_403,FORDHAM CENTER VALENTINE AV,0,36466962,BX220031
BX22,GH_A5-Weekday,GH_A5-Weekday-039100_BX22_409,BEDFORD PARK PAUL AV-205 ST,0,36466968,BX220021
BX22,GH_A5-Weekday,GH_A5-Weekday-039900_BX22_401,FORDHAM CENTER VALENTINE AV,0,36466960,BX220031
BX22,GH_A5-Weekday,GH_A5-Weekday-040600_BX22_408,BEDFORD PARK PAUL AV-205 ST,0,36466967,BX220021
BX22,GH_A5-Weekday,GH_A5-Weekday-041200_BX22_412,FORDHAM CENTER VALENTINE AV,0,36466971,BX220031
BX22,GH_A5-Weekday,GH_A5-Weekday-041800_BX22_404,BEDFORD PARK PAUL AV-205 ST,0,36466963,BX220021
BX22,GH_A5-Weekday,GH_A5-Weekday-042400_BX22_415,FORDHAM CENTER VALENTINE AV,0,36466974,BX220031
BX22,GH_A5-Weekday,GH_A5-Weekday-043000_BX22_416,BEDFORD PARK PAUL AV-205 ST,0,36466975,BX220021
BX22,GH_A5-Weekday,GH_A5-Weekday-043600_BX22_411,FORDHAM CENTER VALENTINE AV,0,36466970,BX220031
BX22,GH_A5-Weekday,GH_A5-Weekday-044200_BX22_417,BEDFORD PARK PAUL AV-205 ST,0,36466976,BX220021
BX22,GH_A5-Weekday,GH_A5-Weekday-044800_BX22_414,FORDHAM CENTER VALENTINE AV,0,36466973,BX220031
BX22,GH_A5-Weekday,GH_A5-Weekday-045500_BX22_419,BEDFORD PARK PAUL AV-205 ST,0,36466978,BX220021
BX22,GH_A5-Weekday,GH_A5-Weekday-046200_BX22_402,FORDHAM CENTER VALENTINE AV,0,36466961,BX220031
BX22,GH_A5-Weekday,GH_A5-Weekday-046900_BX22_420,BEDFORD PARK PAUL AV-205 ST,0,36466979,BX220021
BX22,GH_A5-Weekday,GH_A5-Weekday-047700_BX22_407,FORDHAM CENTER VALENTINE AV,0,36466965,BX220031
BX22,GH_A5-Weekday,GH_A5-Weekday-048400_BX22_405,BEDFORD PARK PAUL AV-205 ST,0,36466964,BX220021
BX22,GH_A5-Weekday,GH_A5-Weekday-049200_BX22_403,FORDHAM CENTER VALENTINE AV,0,36466962,BX220031
BX22,GH_A5-Weekday,GH_A5-Weekday-049900_BX22_410,BEDFORD PARK PAUL AV-205 ST,0,36466969,BX220021
BX22,GH_A5-Weekday,GH_A5-Weekday-041300_BX22_402,CASTLE HILL ZEREGA AV,1,36466961,BX220012
BX22,GH_A5-Weekday,GH_A5-Weekday-050700_BX22_418,FORDHAM CENTER VALENTINE AV,0,36466977,BX220031
BX22,GH_A5-Weekday,GH_A5-Weekday-051500_BX22_406,BEDFORD PARK PAUL AV-205 ST,0,36466966,BX220021
BX22,GH_A5-Weekday,GH_A5-Weekday-142000_BX22_432,CASTLE HILL ZEREGA AV,1,36466981,BX220012
BX22,GH_A5-Weekday,GH_A5-Weekday-052500_BX22_413,FORDHAM CENTER VALENTINE AV,0,36466972,BX220031
BX22,GH_A5-Weekday,GH_A5-Weekday-053500_BX22_409,BEDFORD PARK PAUL AV-205 ST,0,36466968,BX220021
BX22,GH_A5-Weekday,GH_A5-Weekday-140000_BX22_434,CASTLE HILL ZEREGA AV,1,36466964,BX220012
BX22,GH_A5-Weekday,GH_A5-Weekday-054500_BX22_415,FORDHAM CENTER VALENTINE AV,0,36466974,BX220031
BX22,GH_A5-Weekday,GH_A5-Weekday-138300_BX22_430,CASTLE HILL ZEREGA AV,1,36466986,BX220012
BX22,GH_A5-Weekday,GH_A5-Weekday-055500_BX22_411,BEDFORD PARK PAUL AV-205 ST,0,36466970,BX220021
BX22,GH_A5-Weekday,GH_A5-Weekday-136800_BX22_433,CASTLE HILL ZEREGA AV,1,36466978,BX220012
BX22,GH_A5-Weekday,GH_A5-Weekday-056700_BX22_414,FORDHAM CENTER VALENTINE AV,0,36466973,BX220031
